Name,Type,Address,Lat,Lon
Maclay Street Food Market,Grocery,"234 Maclay St, Harrisburg, PA 17110",40.27868,-76.8971
Deardorff Grocery,Grocery,224 Hamilton St,40.27362,-76.89361
Sayford Market,Grocery,"1307 N 3rd St, Harrisburg, PA 17102",40.270186,-76.88929
Alvarro Bread & Pastry,Bakery,236 Peffer St 17102,40.27718,-76.8962
Broad St Market,Grocery,1233 N. 3rd St 17102,40.269789,-76.88851
Shakti Grocery,Grocery,"6 S. 3rd St., 17101",40.260733,-76.880579
Fourth St Mkt & Grocery,Grocery,23 S. 4th St. 17101,40.261608,-76.878631
Rivas Deli Grocery,Grocery,"1364 Vernon St., Harrisburg 17104",40.264274,-76.867085
Superior Stores,Grocery,1307 Market St 17103,40.265717,-76.869681
Asia Market,Grocery,325 S 17th St 17104,40.262711,-76.862321
La Estrella Grocery,Grocery,1417 Derry St 17104,40.26264,-76.866703
Young's Grocery,Grocery,1933 Derry St. 17104,40.261059,-76.856759
GIANT,Grocery,136 Kline Village 17104,40.271214,-76.840481
Shop n' Drive,Convenience,2201 Herr St 17103,40.278369,-76.858297
Convenience Store,Convenience,"497 Walnut St Harrisburg, PA",40.263828,-76.880206
New York Deli and Convenience Store,Convenience,"314 N. 2nd St. Harrisburg, PA",40.262251,-76.885769
Ciao! Bakery,Bakery,"31 S 3rd St, Harrisburg, PA 17101",40.260409,-76.879415
P&R Bakery_Café,Bakery,"1300 N 3rd St, Harrisburg, PA 17102",40.269595,-76.88933

